date,equity
2024-08-23,114865.28
2024-08-26,115774.14
2024-08-27,114645.53
2024-08-28,114296.63
2024-08-29,115743.99
2024-08-30,117121.24
2024-09-03,114203.82
2024-09-04,114488.9
2024-09-05,114668.84
2024-09-06,114200.74
2024-09-09,114478.88
2024-09-10,114202.77
2024-09-11,114774.7
2024-09-12,115244.19
2024-09-13,118040.39
2024-09-16,117787.47
2024-09-17,118279.01
2024-09-18,118275.59
2024-09-19,120246.43
2024-09-20,118417.59
2024-09-23,117403.81
2024-09-24,119374.39
2024-09-25,117486.86
2024-09-26,118271.87
2024-09-27,119052.43
2024-09-30,118949.27
2024-10-01,116088.66
2024-10-02,116603.26
2024-10-03,114968.63
2024-10-04,115420.35
2024-10-07,114208.63
2024-10-08,114189.53
2024-10-09,114312.18
2024-10-10,114017.27
2024-10-11,115616.38
2024-10-14,115800.82
2024-10-15,115994.41
2024-10-16,117242.06
2024-10-17,117367.57
2024-10-18,117646.58
2024-10-21,115633.74
2024-10-22,115109.34
2024-10-23,114410.52
2024-10-24,114507.11
2024-10-25,113752.3
2024-10-28,115499.01
2024-10-29,115367.4
2024-10-30,114894.66
2024-10-31,113793.62
2024-11-01,114730.41
2024-11-04,115596.35
2024-11-05,117048.17
2024-11-06,121907.38
2024-11-07,120679.04
2024-11-08,121015.51
2024-11-11,121500.67
2024-11-12,119798.19
2024-11-13,119289.71
2024-11-14,118330.7
2024-11-15,117041.48
2024-11-18,116426.44
2024-11-19,116621.12
2024-11-20,117504.44
2024-11-21,119553.88
2024-11-22,119962.42
2024-11-25,120086.39
2024-11-26,118523.74
2024-11-27,119005.06
2024-11-29,119016.02
2024-12-02,120171.94
2024-12-03,119640.11
2024-12-04,120656.09
2024-12-05,119804.25
2024-12-06,118472.3
2024-12-09,118320.77
2024-12-10,117602.84
2024-12-11,117732.59
2024-12-12,117262.78
2024-12-13,117252.69
2024-12-16,117163.55
2024-12-17,116554.47
2024-12-18,115359.38
2024-12-19,114953.3
2024-12-20,114615.81
2024-12-23,114325.93
2024-12-24,114572.9
2024-12-26,114634.39
2024-12-27,113996.68
2024-12-30,113833.11
2024-12-31,113980.85
2025-01-02,113815.42
2025-01-03,114790.85
2025-01-06,114561.87
2025-01-07,114233.86
2025-01-08,113884.73
2025-01-10,113287.99
2025-01-13,114087.97
2025-01-14,114748.91
2025-01-15,115583.32
2025-01-16,115508.75
2025-01-17,115903.37
2025-01-21,117101.09
2025-01-22,116334.33
2025-01-23,116856.7
2025-01-24,116948.25
2025-01-27,117362.33
2025-01-28,117303.12
2025-01-29,116748.13
2025-01-30,116807.25
2025-01-31,117059.66
2025-02-03,115918.64
2025-02-04,116389.12
2025-02-05,116482.43
2025-02-06,116380.41
2025-02-07,114999.14
2025-02-10,114771.84
2025-02-11,114391.14
2025-02-12,113897.41
2025-02-13,114292.58
2025-02-14,113920.31
2025-02-18,114408.75
2025-02-19,114546.26
2025-02-20,114252.78
2025-02-21,113522.22
2025-02-24,113450.52
2025-02-25,113853.31
2025-02-26,113088.02
2025-02-27,112706.37
2025-02-28,112790.6
2025-03-03,111668.24
2025-03-04,111273.64
2025-03-05,113214.0
2025-03-06,113992.22
2025-03-07,115012.37
2025-03-10,112833.91
2025-03-11,112707.4
2025-03-12,111750.72
2025-03-13,109999.12
2025-03-14,111711.42
2025-03-17,112838.16
2025-03-18,112309.89
2025-03-19,112295.47
2025-03-20,111581.0
2025-03-21,109482.95
2025-03-24,111580.78
2025-03-25,110171.06
2025-03-26,109751.24
2025-03-27,109397.03
2025-03-28,106998.08
2025-03-31,105765.34
2025-04-01,106196.48
2025-04-02,106922.0
2025-04-03,102464.55
2025-04-04,101560.66
2025-04-07,100522.13
2025-04-08,97061.57
2025-04-09,102506.68
2025-04-10,98219.16
2025-04-11,98649.48
2025-04-14,99192.95
2025-04-15,99608.7
2025-04-16,99032.64
2025-04-17,99657.02
2025-04-21,97878.83
2025-04-22,100527.79
2025-04-23,101594.51
2025-04-24,103811.65
2025-04-25,104788.55
2025-04-28,105631.59
2025-04-29,107006.0
2025-04-30,105368.07
2025-05-01,106274.14
2025-05-02,109052.18
2025-05-05,108202.53
2025-05-06,108013.31
2025-05-07,107734.78
2025-05-08,109774.59
2025-05-09,110442.06
2025-05-12,114278.78
2025-05-13,114986.83
2025-05-14,114289.35
2025-05-15,115561.67
2025-05-16,115731.86
2025-05-19,114870.59
2025-05-20,115124.53
2025-05-21,111424.03
2025-05-22,111473.63
2025-05-23,110745.39
2025-05-27,114188.05
2025-05-28,112829.81
2025-05-29,114021.75
2025-05-30,112799.95
2025-06-02,111446.54
2025-06-03,113556.47
2025-06-04,113103.33
2025-06-05,112882.09
2025-06-06,114398.44
2025-06-09,115624.02
2025-06-10,117371.44
2025-06-11,117163.63
2025-06-12,117055.03
2025-06-13,114701.61
2025-06-16,116166.05
2025-06-17,114943.19
2025-06-18,114951.2
2025-06-20,114401.87
2025-06-23,116038.97
2025-06-24,117373.29
2025-06-25,117006.18
2025-06-26,119946.97
2025-06-27,120194.65
2025-06-30,119616.45
2025-07-01,121727.16
2025-07-02,123959.58
2025-07-03,124774.22
2025-07-07,123161.44
2025-07-08,123989.32
2025-07-09,124442.11
2025-07-10,125885.0
2025-07-11,124359.23
2025-07-14,124323.69
2025-07-15,121383.51
2025-07-16,121951.71
2025-07-17,122376.57
2025-07-18,121574.58
2025-07-21,121536.47
2025-07-22,122384.12
2025-07-23,123337.99
2025-07-24,120290.26
2025-07-25,121333.23
2025-07-28,121727.34
2025-07-29,120660.55
2025-07-30,118137.89
2025-07-31,116725.47
2025-08-01,114336.08
2025-08-04,116361.58
2025-08-05,118380.48
2025-08-06,117134.05
2025-08-07,117478.05
2025-08-08,117925.23
2025-08-11,118322.09
2025-08-12,121122.19
2025-08-13,123406.43
2025-08-14,121965.07
2025-08-15,121098.73
2025-08-18,121329.99
2025-08-19,121200.06
2025-08-20,120980.21
2025-08-21,120950.32
2025-08-22,122039.3
2025-08-25,121380.36
2025-08-26,121473.42
2025-08-27,121584.46
2025-08-28,121623.76
2025-08-29,121551.47
2025-09-02,121213.81
2025-09-03,121193.28
2025-09-04,121274.57
2025-09-05,121795.57
2025-09-08,121647.79
2025-09-09,121629.65
2025-09-10,121191.2
2025-09-11,121683.96
2025-09-12,121368.98
2025-09-15,121296.69
2025-09-16,121404.74
2025-09-17,121553.38
2025-09-18,121975.45
2025-09-19,121364.75
2025-09-22,121358.83
2025-09-23,121100.27
2025-09-24,120965.31
2025-09-25,120656.22
2025-09-26,121001.93
2025-09-29,120924.35
2025-09-30,120632.01
2025-10-01,120578.4
2025-10-02,120249.29
2025-10-03,120188.49
2025-10-06,120572.18
2025-10-07,119942.56
2025-10-08,120039.77
2025-10-09,119509.59
2025-10-10,118293.49
2025-10-13,118734.04
2025-10-14,118974.45
2025-10-15,119506.41
2025-10-16,118730.29
2025-10-17,118904.5
2025-10-20,120316.93
2025-10-21,120223.64
2025-10-22,120654.73
2025-10-23,121211.66
2025-10-24,121948.36
2025-10-27,121498.96
2025-10-28,121076.88
2025-10-29,119520.92
2025-10-30,119718.57
2025-10-31,120129.02
2025-11-03,120535.99
2025-11-04,119044.66
2025-11-05,119484.02
2025-11-06,118390.33
2025-11-07,118514.73
2025-11-10,119732.94
2025-11-11,120919.55
2025-11-12,121469.73
2025-11-13,119976.44
2025-11-14,119723.18
2025-11-17,117788.28
2025-11-18,117464.06
2025-11-19,117089.99
2025-11-20,116135.91
2025-11-21,117819.54
2025-11-24,117682.13
2025-11-25,119793.48
2025-11-26,120186.68
2025-11-28,120079.14
2025-12-01,119925.51
2025-12-02,120023.73
2025-12-03,121694.09
2025-12-04,121575.75
2025-12-05,121166.82
2025-12-08,120656.35
2025-12-09,121484.74
2025-12-10,123604.17
2025-12-11,124731.07
2025-12-12,124993.86
2025-12-15,125460.22
2025-12-16,125166.3
2025-12-17,125237.87
2025-12-18,125677.45
2025-12-19,124925.23
2025-12-22,124590.93
2025-12-23,124391.47
2025-12-24,124637.44
2025-12-26,125323.63
2025-12-29,124895.52
2025-12-30,124762.57
2025-12-31,124451.36
2026-01-02,123891.5
2026-01-05,125097.1
2026-01-06,125507.55
2026-01-07,125424.13
2026-01-08,127091.62
2026-01-09,127290.86
2026-01-12,127368.99
2026-01-13,126053.35
2026-01-14,127125.17
2026-01-15,128640.42
2026-01-16,127509.05
2026-01-20,127012.14
2026-01-21,129740.21
2026-01-22,130762.53
2026-01-23,129933.21
2026-01-26,129829.51
2026-01-27,130478.97
2026-01-28,129938.66
2026-01-29,130171.96
2026-01-30,128555.4
2026-02-02,129973.04
2026-02-03,130246.24
2026-02-04,131771.48
2026-02-05,130642.89
2026-02-06,132691.45
2026-02-09,132649.34
2026-02-10,133101.24
2026-02-11,132597.07
2026-02-12,129004.84
2026-02-13,130023.37
2026-02-17,130152.82
2026-02-18,130377.34
2026-02-19,130592.08
2026-02-20,130526.81
2026-02-23,128563.94
2026-02-24,129358.28
2026-02-25,130595.42
2026-02-26,131258.75
2026-02-27,130740.54
2026-03-02,131364.05
2026-03-03,131273.71
2026-03-04,131841.67
2026-03-05,129746.44
2026-03-06,127383.05
2026-03-09,127685.51
2026-03-10,126990.52
2026-03-11,126853.12
2026-03-12,126409.5
2026-03-13,125868.83
2026-03-16,126357.29
2026-03-17,126628.7
2026-03-18,125789.47
2026-03-19,126486.64
2026-03-20,125538.93
2026-03-23,127570.27
2026-03-24,127723.56
2026-03-25,128721.51
2026-03-26,128817.99
2026-03-27,127591.42
2026-03-30,127439.11
2026-03-31,129609.63
2026-04-01,130578.54
2026-04-02,130719.87
2026-04-06,130683.19
2026-04-07,131109.23
2026-04-08,133338.01
2026-04-09,133250.2
2026-04-10,132967.89
2026-04-13,134152.46
2026-04-14,134985.18
2026-04-15,133710.84
2026-04-16,133378.47
2026-04-17,135080.66
2026-04-20,135112.69
2026-04-21,133880.61
2026-04-22,135174.08
2026-04-23,134906.92
2026-04-24,135242.41
2026-04-27,135546.18
2026-04-28,134667.84
2026-04-29,133780.48
2026-04-30,134376.59
2026-05-01,134449.58
2026-05-04,134516.26
2026-05-05,134586.4
2026-05-06,135326.59
2026-05-07,139509.06
2026-05-08,138240.7
2026-05-11,138782.51
2026-05-12,138558.5
2026-05-13,138861.55
2026-05-14,138150.85
2026-05-15,137331.11
2026-05-18,137377.22
2026-05-19,137111.76
2026-05-20,137692.11
2026-05-21,137715.42
2026-05-22,138492.09
2026-05-26,138372.9
2026-05-27,139203.94
2026-05-28,138880.98
2026-05-29,139131.94
2026-06-01,139449.29
2026-06-02,139121.82
2026-06-03,137903.34
2026-06-04,139032.62
2026-06-05,138077.6
2026-06-08,138339.49
2026-06-09,138735.13
2026-06-10,138492.08
2026-06-11,139529.42
2026-06-12,139862.66
2026-06-15,140454.22
2026-06-16,140522.16
2026-06-17,140335.38
2026-06-18,140975.21
2026-06-22,141206.18
2026-06-23,141016.56
2026-06-24,141827.07
2026-06-25,142068.37
2026-06-26,143523.53
2026-06-29,142731.19
2026-06-30,142867.2
2026-07-01,144483.13
2026-07-02,145005.18
2026-07-06,144751.44
2026-07-07,144181.51
2026-07-08,144247.12
2026-07-09,145004.66
2026-07-10,144312.14
2026-07-13,144503.93
2026-07-14,144414.81
2026-07-15,144901.28
2026-07-16,145228.27
2026-07-17,144832.81
2026-07-20,144157.27
2026-07-21,144245.64
2026-07-22,142807.07
2026-07-23,141790.75
2026-07-24,142255.64
2026-07-27,142795.87
2026-07-28,143324.78
2026-07-29,142637.06
2026-07-30,142486.24
2026-07-31,141839.83
2026-08-03,142761.14
2026-08-04,144160.37
2026-08-05,143473.42
2026-08-06,142528.65
2026-08-07,142799.39
2026-08-10,142556.91
2026-08-11,141695.12
2026-08-12,141294.05
2026-08-13,142319.29
2026-08-14,142179.78
2026-08-17,141628.07
